,stop_id,stop_lat,stop_lon,stop_name,no_of_passengers_avg
137,2892,12.95569,77.54603,"Guddada Halli Mysore Road,Mysore Road",40
138,4542,12.93562,77.70608,Panathur,23
139,769,12.99579,77.61678,"Sindhi Colony,COX TOWN,OPPOSITE OF BBMP CHOULTRY",21
140,171,12.96553534,77.60279272,Boldwin Girls High School,17
141,3382,13.07215802,77.55639159,"Canara Bank Vidyaranyapura,VIDYARANYAPURA,BESIDE CANARA BANK",41
142,4285,12.95339657,77.88283449,BARAGUR,15
143,1694,12.94931,77.62027,NGV Gate,35
144,2632,12.98585844,77.47830026,College Stop,17
145,3786,13.18563674,77.69713376,"Mailanahalli Bagalur,MYLANAHALLI,BESIDE GOVT SCHOOL",37
146,3664,13.2706777,77.56639891,"Guddadahalli,DODDABALLAPURA,OPPOSITE OF SRI RAM TEMPLE",43
147,143,12.9350559,77.62401922,"Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE SPICE HOT SHOP",17
148,3180,13.14209209,77.34777357,"Thonachaguppe,TONACHIKUPPE,BESIDE OPEN AREA",24
149,3612,13.10278176,77.5856949,"Escorts Yalahanka Road,YELAHANKA,BESIDE FEDERAL MOGUL GOETZE INDIA",44
150,1742,13.01851279,77.56120113,"Yeshwanthpura Tollgate,YESHAWANTHAPURA,IN FRONT OF KENDRIYA VIDYALAYA",24
151,2752,12.98574397,77.42733394,"Maimanapalya,MAHIMANNANA PALYA,IN FRONT OF ANJANEYA TEMPLE",45
152,1884,12.79405134,77.48385628,"Gudipalya,IN FRONT OF DOOR NO-38",45
153,5330,13.04416706,77.55463767,"MES Road BEL Circle,JALAHALLI,BESIDE OPEN AREA",7
154,79,12.89616647,77.54851786,"Yadalam Nagara,YADALAM NAGARA,IN FRONT OF SRI MANIKANTA SOUND SYSTEM",23
155,2595,12.9764258,77.52376604,"Srinivas Nagara,SRINIVASANAGARA,OPPOSITE OF HINDU MILITARY HOTEL",19
156,3825,13.05725392,77.62754464,"Rachenahalli,RACHENAHALLI,OPPOSITE OF MAHAVEER PHARMA",21
157,759,12.93733,77.54907,Seetha Cricle,15
158,1173,12.99988978,77.6762812,"KR Puram Railway Station,KR PURAM,OPPOSITE OF BRIDGE",17
159,3231,13.09959723,77.32740475,"Hosapalya,IN FRONT OF WATER TANK",16
160,372,12.92377,77.62812315,Krupanidhi College,40
161,2921,13.06376692,77.50493323,"Bone Mill,BONE MILL,BESIDE OPEN AREA",14
162,1720,12.95516,77.57971,Minerva Circle,41
163,2168,12.91883848,77.4525424,"Archakara Badavane,OLD BYROHALLI,IN FRONT OF LAKSHMINARASIMHA TEMPLE",28
164,4921,12.77917971,77.77001715,"Attibele,ANEKAL TALUKU,IN FRONT OF S.V. FURNITURE",11
165,2001,12.77245226,77.52889296,"Tattaguppe,TATGUPPE,IN FRONT OF DONA PAULA CLINIC",5
166,5323,12.940398,77.625145,"Koramangala TTMC,Koramangala,Near Dominos Pizza",6
167,3210,13.13970363,77.40998466,"Hyadalu,HYADALU,BESIDE OPEN AREA",19
168,1602,12.98492865,77.55341149,"Bashayam Circle Sadashiva Nagara,RAJAJI NAGARA,IN FRONT OF HOTEL GANESH PRASAD",9
169,1496,13.01139025,77.53579344,"Nandhini Layout Bus Station,NANDINI LAYOUT,BESIDE BMTC MAIN BUS STAND",33
170,3646,13.23121768,77.55011803,"Govt High School Marasandra,IN FRONT OF P.K.B. GOVT.COLLEGE",10
171,173,12.978062,77.572342,Kempegowda Bus Station,23
172,684,12.96855648,77.65002553,"Kodihalli,HAL 2ND STAGE WARD-58,BESIDE ICICI BANK",23
173,1145,12.90828645,77.57037034,"Jn of ilyas Nagara Road,ILYASA NAGARA,IN FRONT OF HOTEL BOMBAY DARBAR",7
174,1406,12.97553206,77.53659429,"Govindaraj Nagara,GOVINDARAJA NAGARA,IN FRONT OF GOVINDARAJA SWAMY TEMPLE",12
175,4973,12.84134629,77.58845123,"Koli Farm Gate Bannerghatta Road,KALKERE,IN FRONT OF FOREST OFFICE,BNP",6
176,2425,12.879582,77.316053,"Dabbaguli Cross,Dabbaguli,OPPOSITE OF WATER PUMP HOUSE",10
177,4711,12.87991991,77.6246404,aralimara,11
178,3462,13.10259263,77.62875665,"Ittige Factory Yalahanka,AGRAHARA,OPPOSITE OF MANJUNATH TENT HOUSE",10
179,4703,12.90686583,77.62868758,"Bommanahalli,MADHESHWARA NAGARA,BESIDE S.R.S.TRAVELS, BLACKBIRD GARMENTS",30
180,2062,12.82274063,77.55712346,"Kenchanayakanadoddi,KANCHAGAYANADODDI,OPPOSITE OF MAHADESHWARA TEMPLE",1
181,1272,12.824988,77.76605,"Handenahalli,Bidarguppe,Near Thyavakanahalli",23
182,3671,13.21494671,77.58058591,"Chikkana Hosahalli,IN FRONT OF ALADAMARA",41
183,2396,12.91039802,77.38639855,"Chunchanakuppe,CHUNCHANAKUPPE,IN FRONT OF RENUKA STORE",7
184,954,13.01209031,77.66779647,"Ramamurthinagar Police Station,RAMAMURTHI NAGARA,IN FRONT OF POLICE STATION",4
185,1263,12.76999444,77.70132266,"Marsoor gate ,ANEKAL TALUK,IN FRONT OF BHARAT PETROL BUNK, CG CABLES & WIRES INDIA PRIVATE LIMITED",13
186,2447,12.880877,77.418001,"Sheshagiri Halli Mysore Road,SHESHAGIRI PURA,OPPOSITE OF WATER TANK",15
187,2738,12.95345471,77.4116521,"Eshwara Temple,OPPOSITE OF ESHWARA TEMPLE",14
188,1332,12.94844524,77.55278192,"Kalidasa Layout,LAST BUS STOP",21
189,268,12.92710841,77.59297667,"Jayanagara General Hospital,JAYANAGARA 4TH T BLOCK,BESIDE UDUPI UPAHAR",31
190,4651,12.87359465,77.66639452,"Bangalore Central Jail,NAGANATHAPURA,IN FRONT OF S.R.N.REDDYS INDUSTRIAL COMPLEX",41
191,2552,12.86169,77.38361,Kariyappana Palya,17
