,stop_id,stop_name
113,5253,"Hesaraghatta,HASARAGHATTA,BESIDE L.J.IYENGAR BAKERY & SWEETS"
114,2009,"Girigowdana Doddi,GIRIGOWDA DODDI,IN FRONT OF GOVERNMENT HIGHER PRIMARY SCHOOL"
115,3109,"Thippenahalli Anjaneya Temple,TIPPENAHALLI,BESIDE SRI ANJANEYA SWAMY TEMPLE"
116,179,"Cauvery Bhavana,VASANTHA NAGARA,BESIDE PETROL BUNK"
117,5281,"CMRIT,KUNDALAHALLI,IN FRONT OF AIRPORTS AUTHORITY OF INDIA"
118,2902,"Tharabana Halli Hesaraghatta,TARABANAHALLI,BESIDE SHREYA CHATS"
119,3639,"Kamenahalli,OPPOSITE OF MADDURAMA TEMPLE"
120,2549,"Avaragere Cross,BIDADI,NEAR S.L.N.PUBLIC SCHOOL"
121,1240,"Head Start School Gate,Kommasandra,Temple"
122,3909,"Chikka Gubbi,CHICKKGUBBI,BESIDE NIRMALA PROVISION STORE"
123,1277,"Chandapura,Chandapura,Bmtc Bus Stop Board"
124,4258,"Medahalli Colony,MEDAHALLI,IN FRONT OF MILK DAIRY"
125,281,Yelenahalli
126,401,"Chikkallasandra Bus Stand,IN FRONT OF U.K.RESIDENCY APARTMENTS"
127,1176,"EMC2,DODDANEKUNDI,IN FRONT OF TOTAL MALL"
128,3844,"Venkateshapura Police Station,K.G.HALLI,IN FRONT OF CITY TIME CENTER"
129,4718,"Nayanappanahalli cross,BOMMANAHALLI CIRCLE,OPPOSITE OF BHARATH PETROLEUM BANK"
130,4956,Ragihalli Gate
131,1296,"Kamakya Talkies,BANASHANKARI 3RD STAGE,IN FRONT OF NISARGA BDA ENCLEVE"
132,2698,"Hoshalli,HOSAHALLI,BESIDE OPEN AREA"
133,2271,"Dasegowdana Palya,IN FRONT OF S.L.V. REAL ESTATE"
134,1782,Jn of Hosur Road
135,4443,"Jyothipura Gate,THIRUMENAHALLI,OPPOSITE OF ANJANEYA TEMPLE"
136,5015,Nagammana Doddi
137,3547,"Bettahalasuru cross,BETTA ULSOOR,IN FRONT OF WATER TANK"
138,1777,"Jn of New Bridge,DOMLURU,OPPOSITE OF COIN BOOTH"
139,860,"Byatarayana Pura,BYATARAYANAPURA,BESIDE GOVERNMENT SCHOOL"
140,924,Kodigehalli
